TARGET_TABL,SOURCE_TABLE
DWD_INSR_PLY_BASE_INFO_DF,EPCIS_PASDATA_PLY_INFO
DWD_INSR_PLY_BASE_INFO_DF_1,EPCIS_PASDATA_PLY_EXTEND_INFO|EPCIS_PASDATA_PLY_INFO
DWD_INSR_PLY_BASE_INFO_DF_3,EPCIS_PASDATA_PLY_EXTEND_INFO|EPCIS_PASDATA_PLY_INFO
DWD_INSR_PLY_BASE_INFO_DF_4,EPCIS_PASDATA_PLY_EXTEND_INFO|EPCIS_PASDATA_PLY_INFO
DWD_INSR_PLY_BASE_INFO_DF_5,EPCIS_PASDATA_PLY_EXTEND_INFO|EPCIS_PASDATA_PLY_INFO
dwp_vehicle_list,DWD_RISKOBJ_PROPRETY_ATTR|DWP_VEHICLE_LIST
DWD_INSR_PLY_BASE_INFO_DF,EPCIS_PASDATA_PLY_EXTEND_INFO|EPCIS_PASDATA_PLY_INFO
